smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,-0.9,-7.1,-10.4,8.75,A
O=C(O)C=Cc1ccc(O)cc1,-8.3,-4.9,-7.3,7.800000000000001,B
CC(C)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.4,-9.1,8.35,A
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,-2.9,-7.0,-8.4,7.7,B
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,-7.4,-4.6,-7.6,7.5,B
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,11.9,-7.7,-11.1,9.4,A
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,-5.4,-7.6,-9.3,8.45,A
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,-0.4,-7.3,-9.8,8.55,A
COc1cccc2c(=O)c3ccc(O)cc3oc12,-7.7,-6.1,-8.5,8.1,A
CC=Cc1cc(O)c(O)c(OC)c1,-7.6,-5.3,-7.5,7.55,B
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,-7.7,-5.7,-8.7,8.2,A
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.2,-7.1,-9.3,8.2,A
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-0.6,-7.0,-9.8,8.4,A
CC(C)=CCc1ccc2cc[nH]c2c1,-7.3,-5.2,-8.6,7.949999999999999,B
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,-0.8,-7.6,-10.0,8.8,A
C=CCc1cc(OC)c2c(c1OC)OCO2,-7.6,-5.0,-7.4,7.5,B
COc1c(-c2ccc(O)cc2)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,19.7,-7.1,-8.2,7.6499999999999995,B
COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,-8.1,-6.0,-7.3,7.699999999999999,B
COc1cc(OC)c2nc3occc3c(OC)c2c1,-7.1,-5.6,-7.0,7.05,B
C=CCc1cc(OC)c2c(c1)OCO2,-7.2,-4.7,-7.3,7.25,B
c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,19.8,-7.0,-10.6,8.8,A
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-7.9,-6.4,-8.5,8.2,A
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-7.0,-5.3,-8.6,7.8,B
Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.5,-7.3,-9.6,8.45,A
COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccccc2c1=O,-1.1,-7.1,-10.3,8.7,A
COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccncc2)cc1,5.8,-7.2,-8.6,7.9,B
FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1,-5.5,-7.2,-11.3,9.25,A
O=C(Nc1ccsc1C(=O)NC1CCCCC1)c1ccc(F)cc1,-2.4,-7.2,-8.2,7.699999999999999,B
COc1ccc(C(=O)Nc2ccc3nc(N4CCCCC4)cc(C)c3c2)cc1OC,85.6,-7.1,-10.4,8.75,A
CC(NCc1ccccc1)c1cc(Cl)ccc1O,-7.2,-5.5,-8.9,8.05,A
O=C(NCC1Cc2cccc(-c3ccncc3)c2O1)c1csc2c1CCCC2,7.0,-7.4,-10.7,9.05,A
Cc1[nH]c(-c2ccc(F)cc2)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,100.3,-7.1,-8.6,7.85,B
O=C1CC(O)(C(F)(F)C(F)(F)F)Oc2ccccc21,-8.2,-6.4,-9.4,8.8,A
CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc23)CC1,2.8,-7.2,-8.6,7.9,B
O=C(NNc1cc(N2CCCC2)nc(N2CCCC2)n1)c1ccccc1,5.3,-7.4,-8.1,7.75,B
CC(C)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.9,-9.1,8.35,A
COc1cc2ccc(=O)oc2cc1O,-8.2,-5.3,-8.0,8.1,A
COc1cc2oc(=O)ccc2cc1O,-8.7,-5.1,-8.1,8.399999999999999,A
COc1cc2oc(=O)ccc2cc1C(C)=O,-7.0,-5.2,-7.2,7.1,B
CC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-7.4,-5.4,-7.6,7.5,B
COC/C(C)=C/COc1ccc2ccc(=O)oc2c1,-7.2,-5.4,-8.7,7.949999999999999,B
CC(C)=CCc1cc2ccc(=O)oc2cc1O,-7.3,-5.7,-9.4,8.35,A
COc1cc2ccc(=O)oc2cc1O[C@@H](C)C(F)(F)F,-7.6,-6.2,-8.2,7.8999999999999995,B
COc1cc2ccc(=O)oc2cc1O[C@H](C)C(F)(F)F,-7.3,-6.3,-8.3,7.800000000000001,B
COc1cc2oc(=O)ccc2cc1O[C@H](C)C(F)(F)F,-7.1,-5.9,-8.0,7.55,B
COc1cc2oc(=O)ccc2cc1O[C@@H](C)C(F)(F)F,-7.2,-6.0,-7.9,7.550000000000001,B
CC(Cl)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.7,-8.9,8.25,A
COc1cc2ccc(=O)oc2c(OC)c1O,-7.6,-5.2,-8.0,7.8,B
CCOc1ccc2ccc(=O)oc2c1,-7.5,-4.9,-8.0,7.75,B
C=C(C)CCOc1ccc2ccc(=O)oc2c1,-7.3,-5.2,-8.5,7.9,B
