smiles,index,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19,tfp_valid
CCCc1cc2ccc(=O)oc2cc1OC,300,3.3331113,29.0,2.1045556,1.5765108,0.0,0.0,1.5765108,0.4098292,1.1603591,1.8138728,1.9765588,1.1702061,2.0,1.3932865,0.83163756,2.275554,0.30383223,3.1071916,0.22499911,1.2963059,1.3286327,1.3609595,0.5940035,0.0,0.46077776,0.32048094,3.4640274,0.14662707,3.7845085,0.0063302517,0.0,0.0,0.0,0.0,0.0,0.15803029,0.0,0.0,0.35944238,0.049592275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059625354,0.12665562,0.0,0.13961275,0.0,0.0,0.0,0.0,0.013354789,0.034932334,0.05875419,1.0,1.0,1.0,1.0,1.0,0.51724136,0.51724136,0.44827586,0.6666667,0.6666667,1.0,0.6666667,0.6666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CC[C@H](COC)Oc1cc2ccc(=O)oc2cc1OC,301,3.5746703,37.0,2.1234975,1.5880008,0.0,0.0,1.5880008,0.42533177,1.1597321,1.8134437,2.0223715,1.6261005,5.0,1.3797696,0.80840874,2.2708943,0.3116813,3.079303,0.1830297,0.7089114,0.8677244,1.2658443,0.58868104,0.0,0.47267485,0.32622075,3.4611566,0.1476667,3.7873774,0.0012125969,0.0,0.0,0.0,0.0,0.008500967,0.13776456,0.0,0.0,0.3622354,0.034670446,0.0,0.048717886,0.0,0.05963185,0.0,0.0,0.0,0.05994536,0.08699149,0.0,0.09482067,0.0,0.0,0.0,0.0,0.010446633,0.027290266,0.0689844,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.45945945,0.45405406,1.0,1.0,0.8,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CC[C@@H](COC)Oc1cc2ccc(=O)oc2cc1OC,302,3.574694,37.0,2.129906,1.5886257,0.0,0.0,1.5886257,0.42536214,1.1602314,1.8135779,2.029468,1.6447327,2.0,1.3962497,0.5968392,2.4347794,0.36128312,3.0316186,0.3336064,1.297778,1.3306019,1.3634257,0.6014482,0.0,0.4455893,0.31344914,3.464633,0.14486289,3.7780821,0.012722731,0.0,0.0,0.0,0.0,0.0,0.19137001,0.0,0.0,0.39023495,0.03940323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059959788,0.10092485,0.0,0.11140031,0.0,0.0,0.0,0.0,0.010444065,0.027299808,0.068963,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.45945945,0.72072077,1.0,1.0,1.0,1.0,0.8333334,1.0,0.0,0.0,0.0,0.0,0.0,True
CCC[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,303,3.6270444,39.0,2.1346607,1.5651611,0.0,0.0,1.5651611,0.4226325,1.1603823,1.164375,2.0158954,1.5311015,3.0,1.4065001,0.5953469,2.429797,0.3672969,3.0251439,0.25965852,0.9844718,1.2643647,1.3354324,1.1730831,0.0,0.42369938,0.22833908,3.2062082,0.28456503,3.4345474,0.33888426,0.0,0.0,0.0,0.029691717,0.0,0.116062045,0.14681025,0.0,0.2319464,0.038836796,0.0,0.05635601,0.0,0.0,0.0,0.0,0.0,0.06408531,0.10113069,0.0,0.11249944,0.0,0.0,0.0,0.0,0.0100409025,0.026242105,0.06629834,0.8,0.8,0.8,0.8,0.8,0.3897436,0.3897436,0.34871796,0.42051283,0.6,0.8,1.0,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0,True
CCC[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,304,3.6270747,39.0,2.1347656,1.5650675,0.0,0.0,1.5650675,0.4224359,1.1604155,1.1645708,2.0155063,1.5935109,3.0,1.4056274,0.6221112,2.3852594,0.31288013,3.0073705,0.21573181,0.96218884,1.2641449,1.3348861,0.6572253,0.0,0.42147446,0.20293267,3.3250775,0.23419717,3.5280101,0.34381974,0.0,0.0,0.0,0.012961327,0.0,0.14944269,0.0,0.0,0.37839305,0.037643455,0.0,0.050537035,0.0,0.0,0.0,0.0,0.0,0.0640905,0.096763045,0.0,0.107592724,0.0,0.0,0.0,0.0,0.010040929,0.026238002,0.06629724,1.0,1.0,1.0,1.0,1.0,0.4871795,0.4871795,0.43589744,0.42564103,1.0,1.0,0.6,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CCC[C@@H](C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,305,3.7690492,45.0,2.1267848,1.5533652,0.0,0.0,1.5533652,0.4271965,1.160083,1.1639707,2.0296876,1.7319579,3.0,1.3971684,0.5872011,2.2966044,0.26568714,2.8838055,0.3509498,0.9868535,1.2646878,1.3309281,1.2149733,0.0,0.44324303,0.2264458,3.1659255,0.31878468,3.3923714,0.38489318,0.0,0.0,0.0,0.041493572,0.0,0.22748981,0.018128293,0.027579313,0.24467391,0.034777567,0.0,0.050310645,0.0,0.0,0.0,0.0,0.0,0.06727097,0.08973983,0.0,0.0991404,0.0,0.0,0.0,0.0,0.00878219,0.022950822,0.067662686,0.9090909,0.9090909,0.9090909,0.9090909,0.9090909,0.4242424,0.4242424,0.3838384,0.4242424,0.9090909,0.9090909,1.0,0.36363637,0.45454544,0.9090909,0.0,0.0,0.0,0.0,0.0,True
CCC[C@H](Oc1cc2ccc(=O)oc2cc1OC)[C@@H](C)CC,306,3.7690933,45.0,2.1220853,1.5533429,0.0,0.0,1.5533429,0.42693326,1.160365,1.163971,2.029877,1.94736,3.0,1.395931,0.5802871,2.4443264,0.35026637,3.0246134,0.2936674,0.93500006,1.2647622,1.3303466,0.96950775,0.0,0.44601774,0.17728513,3.2491314,0.23899168,3.4264166,0.3520786,0.0,0.0,0.0,0.05776689,0.006187781,0.12775543,0.03450389,0.021126127,0.31447768,0.06306629,0.038629536,0.0,0.0,0.0,0.0,0.0,0.0,0.067276925,0.080723904,0.0,0.08909581,0.0,0.0,0.0,0.0,0.008781519,0.022950403,0.06765782,1.0,1.0,1.0,1.0,1.0,0.46666667,0.46666667,0.42222223,0.44444445,1.0,0.8,0.6,0.6,0.7,1.0,0.0,0.0,0.0,0.0,0.0,True
CCC[C@@H](Oc1cc2ccc(=O)oc2cc1OC)[C@@H](C)CC,307,3.769146,45.0,2.1344497,1.5532217,0.0,0.0,1.5532217,0.42660123,1.1604425,1.1670014,2.0262616,2.1125603,4.0,1.4083344,0.54273844,2.3916736,0.2763121,2.934412,0.2815397,0.7216826,1.0240583,1.300106,1.3037257,0.0,0.41809964,0.23922676,3.3213823,0.1790361,3.5606089,0.20985897,0.0,0.0,0.0,0.002876113,0.00867662,0.2911637,0.0,0.040151495,0.267638,0.029841391,0.0,0.0,0.043778364,0.0,0.0,0.0,0.0,0.06728463,0.07057532,0.0,0.07863235,0.0,0.0,0.0,0.0,0.0087813325,0.02294849,0.06765222,1.0,1.0,1.0,1.0,1.0,0.46666667,0.46666667,0.42222223,0.33015874,0.71428573,1.0,0.5714286,0.42857143,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
C=C[C@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,308,3.5757835,37.0,2.1277125,1.5788231,0.0,0.0,1.5788231,0.41646412,1.1611838,1.8135401,2.0039773,1.6067128,4.0,1.4132072,0.7429718,2.4237254,0.35815692,3.166697,0.233543,0.5872136,0.92921996,1.3013806,0.6182813,0.0,0.41132474,0.297621,3.4713345,0.13941562,3.7689552,0.025711894,0.0,0.0,0.0,0.0,0.0,0.16664986,0.0,0.0,0.37973544,0.0,0.086752556,0.0,0.0,0.0,0.0,0.0,0.0,0.06012265,0.094523184,0.0,0.10567226,0.0,0.0,0.0,0.0,0.015739959,0.027392887,0.063411154,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.43243244,0.527027,0.5,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,True
C=C[C@@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,309,3.575761,37.0,2.136918,1.5783546,0.0,0.0,1.5783546,0.416498,1.1603428,1.8136394,2.0025306,1.1810722,2.0,1.4058721,0.6642766,2.4315116,0.40004718,3.0957882,0.20801549,1.2985024,1.3342923,1.3700821,0.61433333,0.0,0.41841674,0.3006482,3.4686086,0.1410315,3.7692568,0.023262978,0.0,0.0,0.0,0.0012762047,0.0,0.16891259,0.0,0.0,0.39532593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06012142,0.12672557,0.0,0.14109305,0.0,0.0,0.0,0.0,0.015737532,0.027378378,0.06342933,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.43243244,0.6936937,0.6666667,1.0,0.6666667,0.6666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CCC[C@@H](C)Oc1cc2oc(=O)ccc2cc1OC,310,3.547614,36.0,2.1350892,1.5729737,0.0,0.0,1.5729737,0.42027187,1.1604785,1.4888673,2.0100794,1.5491947,4.0,1.3770231,0.7166061,2.3133073,0.28353858,3.0299134,0.21315795,0.60372114,0.9521048,1.2951561,0.7459415,0.0,0.47781396,0.22917931,3.3113847,0.24579394,3.540564,0.35366035,0.0,0.0,0.0,0.027056957,0.0,0.1290798,0.0,0.0,0.38359892,0.03921704,0.049333055,0.0,0.0,0.0,0.0,0.0,0.0,0.062118094,0.09829259,0.0,0.106755,0.0,0.0,0.0,0.0,0.010816341,0.028267235,0.06546501,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.44444445,0.4277778,1.0,1.0,0.6,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CC(C)=CCOc1cc2oc(=O)cc(C)c2cc1Cl,311,3.4531097,33.0,3.2576385,1.6354806,0.0,0.0,1.6354806,0.4922658,1.1606597,1.824116,2.0005603,1.5061597,4.0,1.4169056,0.8782008,2.1834054,0.19617416,3.0616062,0.2421299,0.674842,1.0083082,1.3177444,0.591772,0.0,0.41372228,0.28681052,3.4761076,0.14283383,3.7629182,0.01592207,0.0,0.0,0.0,0.0,0.13937666,0.0,0.0,0.0,0.3950795,0.03822898,0.0,0.0,0.055562515,0.0,0.0,0.0,0.0,0.055310532,0.0,0.097524434,0.10756125,0.0,0.0,0.0,0.0,0.017419456,0.030261887,0.06367479,0.97058827,0.97058827,0.97058827,0.97058827,0.97058827,0.5294118,0.5294118,0.4411765,0.44705886,0.8058824,1.0,0.6117647,0.41764706,0.48529413,0.97058827,0.0,0.0,0.0,0.0,0.0,True
CCOC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,316,3.5747943,37.0,2.1360843,1.5882151,0.0,0.0,1.5882151,0.42467403,1.1607372,1.8139881,2.0270712,1.2776684,2.0,1.4067824,0.70411646,2.4897518,0.4760039,3.1938684,0.23110895,1.2991614,1.3350351,1.3709087,0.61267823,0.0,0.41962886,0.30066,3.4694989,0.14202237,3.7701588,0.023053527,0.0,0.0,0.0,0.0037421912,0.0,0.15107693,0.0,0.030490791,0.34892306,0.04629463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059974793,0.119609736,0.0,0.13319598,0.0,0.0,0.0,0.0,0.010444543,0.027288191,0.06895914,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.45945945,0.7477478,1.0,1.0,0.6666667,1.0,0.8333334,1.0,0.0,0.0,0.0,0.0,0.0,True
CCOC[C@H](C)Oc1cc2ccc(=O)oc2cc1OC,317,3.5747938,37.0,2.1355774,1.588272,0.0,0.0,1.588272,0.4246921,1.1607486,1.813903,2.0271375,1.3919374,3.0,1.4086522,0.76654416,2.4205952,0.39715546,3.1871395,0.2520603,0.8987316,1.2634795,1.3360658,0.6131258,0.0,0.41926646,0.30063105,3.4694395,0.14198935,3.7700706,0.023353934,0.0,0.0,0.0,0.0,0.0123676695,0.15134467,0.0,0.0,0.3486553,0.08856926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059974432,0.109885335,0.0,0.12251107,0.0,0.0,0.0,0.0,0.010444001,0.027291352,0.06895688,1.0,1.0,1.0,1.0,1.0,0.5135135,0.5135135,0.45945945,0.7477478,1.0,1.0,1.0,1.0,0.8333334,1.0,0.0,0.0,0.0,0.0,0.0,True
CCc1cc(=O)oc2cc(OCC=C(C)C)ccc12,318,3.548911,36.0,2.1176448,1.5628277,0.0,0.0,1.5628277,0.40993926,1.1605123,1.4890206,2.000147,1.6345153,5.0,1.39495,0.6720761,2.2689607,0.24298507,2.941037,0.27796125,0.6743431,0.70353556,1.2915142,0.56690854,0.0,0.4338777,0.29088295,3.4741452,0.14892888,3.765028,0.005934119,0.0,0.0,0.0,0.00879003,0.12710284,0.0,0.0,0.0,0.37289718,0.036569763,0.0,0.09762774,0.0,0.0,0.0,0.0,0.0,0.06225699,0.0,0.0915085,0.09883731,0.0,0.0,0.0,0.0,0.01634396,0.028342074,0.059723645,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.41666666,0.4277778,1.0,1.0,0.6,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
