smiles,index,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19,tfp_valid
CC(NCc1cccc(O)c1)c1cccc(Cl)c1,300,3.4495604,33.0,3.315348,1.6068515,0.0,0.0,1.6068515,0.5062633,1.1537871,1.8895835,1.9085565,1.4438994,2.0,1.3831477,0.47907668,2.545582,0.4986834,3.0246587,0.428055,1.382493,1.3827112,1.3829294,0.6931467,0.0,0.46868134,0.46822846,3.3114152,0.0031481981,3.7796438,0.002695322,0.0,0.0,0.0,0.0072413445,0.012103883,0.0,0.0,0.0,0.5734715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069403327,0.052595034,0.0,0.0,0.2405167,0.0,0.0,0.0,0.0,0.0,0.061658576,0.04547274,0.59999996,0.59999996,0.59999996,0.59999996,0.58181816,0.30909088,0.30909088,0.30909088,0.41818184,0.41818184,0.61818177,0.41818184,0.61818177,1.0,0.59999996,0.0,0.0,0.0,0.0,0.0,True
C[C@@H](NCc1cccc(O)c1)c1cccc(Cl)c1,301,3.4495604,33.0,3.3153486,1.6068515,0.0,0.0,1.6068515,0.50626343,1.153787,1.8895836,1.9085562,1.4439001,2.0,1.3831476,0.4790768,2.545582,0.49868378,3.024659,0.42805606,1.382493,1.3827112,1.3829293,0.6931467,0.0,0.46868205,0.46822882,3.3114154,0.0031483173,3.7796443,0.0026950836,0.0,0.0,0.0,0.0072415713,0.0121039,0.0,0.0,0.0,0.57347125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006940331,0.052595034,0.0,0.0,0.24051665,0.0,0.0,0.0,0.0,0.0,0.061658576,0.04547274,0.59999996,0.59999996,0.59999996,0.59999996,0.58181816,0.30909088,0.30909088,0.30909088,0.41818184,0.41818184,0.61818177,0.41818184,0.61818177,1.0,0.59999996,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1cccc(Cl)c1)c1cccc(O)c1,302,3.4494798,33.0,3.32249,1.6071258,0.0,0.0,1.6071258,0.50696117,1.1539853,1.8907846,1.907468,1.4387296,3.0,1.3846031,0.55563897,2.482064,0.49536103,3.037703,0.4454577,0.94134647,1.3819877,1.3832954,0.6930483,0.0,0.47445488,0.46787524,3.3113174,0.0024530888,3.7791927,0.0041265488,0.0,0.0,0.0,0.0067508365,0.011767703,0.0,0.0,0.0,0.53480285,0.042911142,0.0,0.0,0.0,0.0,0.0,0.0,0.006944601,0.0525943,0.0,0.0,0.23710072,0.0,0.0,0.0,0.0,0.0,0.061656117,0.045471635,0.59999996,0.59999996,0.59999996,0.59999996,0.58181816,0.30909088,0.30909088,0.30909088,0.41818184,0.41818184,0.61818177,0.41818184,0.61818177,1.0,0.59999996,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1ccc(O)c(F)c1)c1cccc(Cl)c1Cl,303,3.448006,33.0,3.2715058,1.6849445,0.0,0.0,1.6849445,0.534304,1.1590706,1.8938994,2.0216885,1.1364378,3.0,1.3900148,0.69088155,2.1329987,0.17790073,2.8238802,0.45024392,0.9923718,1.3784449,1.3842299,0.7423113,0.0,0.46719503,0.30985212,3.2137551,0.15429552,3.5236073,0.36663494,0.0,0.0,0.0,0.012712914,0.0,0.0,0.0,0.0,0.49497285,0.0,0.058504835,0.0,0.0,0.0,0.0,0.0,0.006724786,0.043637443,0.0,0.0,0.2671427,0.0,0.0,0.0,0.0,0.0,0.053708587,0.06259585,0.9428572,0.9428572,0.9428572,0.9428572,0.9142858,0.54285717,0.54285717,0.54285717,0.68571436,1.0,1.0,0.9714286,0.65714294,0.9428572,0.9428572,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1ccccc1)c1cc(O)cc(F)c1,304,3.4609764,33.0,2.0882967,1.5684495,0.0,0.0,1.5684495,0.4153202,1.1528583,1.8874846,1.9076344,1.217425,2.0,1.3819026,0.47231716,2.4705954,0.42686734,2.9429123,0.34069562,1.3794212,1.3802483,1.3810755,0.693092,0.0,0.48808098,0.48300672,3.3027706,0.0018912554,3.785777,0.006965518,0.0,0.0,0.0,0.0018461667,0.025460174,0.0,0.027713532,0.0,0.24737363,0.2526264,0.0,0.0,0.0,0.0,0.0,0.0,0.0069467877,0.052600738,0.0,0.0,0.27831346,0.0,0.0,0.0,0.0,0.0,0.061633065,0.045486078,1.0,1.0,1.0,1.0,0.969697,0.5151515,0.5151515,0.5151515,0.6666667,0.6666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1cc(O)cc(F)c1)c1cccc(Cl)c1,305,3.4505978,33.0,3.3261187,1.634485,0.0,0.0,1.634485,0.5065474,1.1531831,1.8875799,1.9106902,1.2071702,2.0,1.3854373,0.54954904,2.6034307,0.64282453,3.1529799,0.44558826,1.3800647,1.3818556,1.3836465,0.9575449,0.0,0.48020053,0.3561233,3.890369,0.8284901,4.2464924,0.6566435,0.0,0.0,0.0,0.0016467996,0.07852704,0.0,0.026703268,0.0,0.22232926,0.22473516,0.0,0.0,0.0,0.0,0.0,0.0,0.0068356185,0.048063483,0.0,0.0,0.27939183,0.0,0.0,0.0,0.0,0.0,0.06063048,0.05113709,0.75,0.75,0.75,0.75,0.72727275,0.4090909,0.4090909,0.4090909,0.5227273,0.5227273,0.5227273,0.77272725,0.5227273,1.0,0.75,0.0,0.0,0.0,0.0,0.0,True
C[C@@H](NCc1cc(O)cc(F)c1)c1cccc(Cl)c1,306,3.4505978,33.0,3.326119,1.6344851,0.0,0.0,1.6344851,0.5065474,1.1531831,1.8875797,1.9106902,1.2071967,2.0,1.3854374,0.5495549,2.6034312,0.64282197,3.152986,0.44559532,1.3800651,1.3818558,1.3836466,0.95759565,0.0,0.48020005,0.35613704,3.8903658,0.8284855,4.246503,0.6566589,0.0,0.0,0.0,0.001646758,0.078549355,0.0,0.026701516,0.0,0.22232056,0.22472626,0.0,0.0,0.0,0.0,0.0,0.0,0.0068356185,0.048063487,0.0,0.0,0.2793889,0.0,0.0,0.0,0.0,0.0,0.060630474,0.051137086,0.75,0.75,0.75,0.75,0.72727275,0.4090909,0.4090909,0.4090909,0.5227273,0.5227273,0.5227273,0.77272725,0.5227273,1.0,0.75,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1cc(O)ccc1Cl)c1ccccc1,307,3.4512923,33.0,3.178514,1.6028788,0.0,0.0,1.6028788,0.49252617,1.1528902,1.8872496,1.9090192,1.4051032,3.0,1.3782167,0.65413815,2.3809266,0.47175565,3.0350647,0.3921116,1.0076663,1.3772612,1.377739,0.6931151,0.0,0.478729,0.4749266,3.3120246,0.0009279251,3.786951,0.0028744936,0.0,0.0,0.0,0.0011158679,0.0,0.017250637,0.02675473,0.0,0.5,0.0,0.054191027,0.0,0.0,0.0,0.0,0.0,0.0069584716,0.052579552,0.0,0.0,0.23402107,0.0,0.0,0.0,0.0,0.0,0.061662808,0.04546584,0.8,0.8,0.8,0.8,0.7757576,0.4121212,0.4121212,0.4121212,0.4242424,0.6242424,0.8242424,0.8242424,0.4242424,1.0,0.8,0.0,0.0,0.0,0.0,0.0,True
C[C@H](NCc1cc(O)cc(F)c1)c1ccccc1,308,3.4610806,33.0,2.086225,1.56812,0.0,0.0,1.56812,0.41461447,1.153564,1.8873775,1.9058717,1.132102,2.0,1.3857951,0.65629333,2.201009,0.24742658,2.8573024,0.39100462,1.3786962,1.3810625,1.3834288,0.6931463,0.0,0.47891164,0.47826624,3.3040724,0.007657647,3.7823386,0.007012248,0.0,0.0,0.0,0.0021832674,0.012430224,0.0,0.0,0.038141545,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069498178,0.052612215,0.0,0.0,0.2805783,0.0,0.0,0.0,0.0,0.0,0.061619937,0.045484696,1.0,1.0,1.0,1.0,0.969697,0.5151515,0.5151515,0.5151515,0.6666667,0.6666667,1.0,0.6666667,0.6666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
C[C@@H](NCc1cc(O)cc(F)c1)c1ccccc1,309,3.4609623,33.0,2.0885816,1.5682552,0.0,0.0,1.5682552,0.41533893,1.152223,1.8876109,1.9092076,1.3234727,4.0,1.3854474,0.7970897,2.1436858,0.19086172,2.9407756,0.36741984,0.61687976,1.0028224,1.3794959,0.867754,0.0,0.48218155,0.24886066,3.1490877,0.16011631,3.3979483,0.38565338,0.0,0.0,0.0,0.02217096,0.0,0.0,0.0,0.0,0.23657422,0.24219455,0.10130633,0.0,0.0,0.0,0.0,0.0,0.0069458205,0.052590925,0.0,0.0,0.23108731,0.0,0.0,0.0,0.0,0.0,0.061641738,0.045488182,1.0,1.0,1.0,1.0,0.969697,0.5151515,0.5151515,0.5151515,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1cccc(O)c1Cl)c1ccc(Cl)cc1,310,3.446446,33.0,3.3364854,1.6563772,0.0,0.0,1.6563772,0.5373292,1.1547782,1.8928195,1.9103994,1.4153303,2.0,1.3881632,0.52886766,2.7088497,0.5375658,3.2377174,0.21657628,1.3787638,1.381897,1.38503,0.6926014,0.0,0.4825008,0.46707046,3.3174753,0.0052785873,3.784546,0.010151744,0.0,0.0,0.0,0.00044016188,0.02472862,0.0,0.023395814,0.035917755,0.2417409,0.2582591,0.0,0.0,0.0,0.0,0.0,0.0,0.006848933,0.04804796,0.0,0.0,0.24885099,0.0,0.0,0.0,0.0,0.0,0.06067044,0.051099334,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.36363637,0.36363637,0.36363637,0.37373737,0.37373737,0.37373737,0.520202,0.68686867,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0,True
C[C@@H](NCc1cccc(O)c1Cl)c1ccc(Cl)cc1,311,3.4430828,33.0,3.3363705,1.6675931,0.0,0.0,1.6675931,0.5619608,1.1551596,1.8928105,1.9134767,1.2830281,2.0,1.3950721,0.5751839,2.3852572,0.4808424,2.960441,0.4259338,1.3788025,1.3842257,1.3896489,0.69255555,0.0,0.47954607,0.46360064,3.3206997,0.006716609,3.7843003,0.009228826,0.0,0.0,0.0,0.0052607562,0.02480819,0.0,0.0,0.035866696,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068260953,0.048031107,0.0,0.0,0.26739767,0.0,0.0,0.0,0.0,0.0,0.060710564,0.0510989,0.75,0.75,0.75,0.75,0.72727275,0.4090909,0.4090909,0.4090909,0.54545456,0.54545456,0.7954545,0.54545456,0.5227273,1.0,0.75,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1cc(O)cc(F)c1)c1ccccc1,312,3.4609623,33.0,2.0885813,1.5682552,0.0,0.0,1.5682552,0.4153389,1.1522228,1.8876112,1.9092084,1.3234748,4.0,1.3854477,0.7970898,2.1436846,0.19086099,2.9407744,0.3674197,0.6168801,1.0028229,1.3794956,0.86774576,0.0,0.48218203,0.24886036,3.1490881,0.16011517,3.3979485,0.38565356,0.0,0.0,0.0,0.022169711,0.0,0.0,0.0,0.0,0.23657508,0.24219507,0.10130623,0.0,0.0,0.0,0.0,0.0,0.006945819,0.052590925,0.0,0.0,0.23108725,0.0,0.0,0.0,0.0,0.0,0.061641734,0.045488182,1.0,1.0,1.0,1.0,0.969697,0.5151515,0.5151515,0.5151515,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
CC(NCc1ccc(Cl)c(Cl)c1)c1cccc(O)c1,313,3.4415517,33.0,3.2898514,1.6711724,0.0,0.0,1.6711724,0.57348406,1.1545863,1.8937839,1.9090139,1.3250914,4.0,1.386536,0.8014904,2.1439958,0.19019914,2.9454863,0.36669266,0.6220045,1.0062261,1.3833604,0.88257676,0.0,0.47553754,0.24450731,3.1531963,0.16749427,3.3977036,0.38453135,0.0,0.0,0.0,0.025806306,0.0,0.0,0.0,0.0,0.47509995,0.0,0.102119565,0.0,0.0,0.0,0.0,0.0,0.006831268,0.048041612,0.0,0.0,0.23030742,0.0,0.0,0.0,0.0,0.0,0.06068574,0.05110803,0.9428572,0.9428572,0.9428572,0.9428572,0.9142858,0.51428574,0.51428574,0.51428574,0.5285715,1.0,1.0,1.0,0.5285715,0.9428572,0.9428572,0.0,0.0,0.0,0.0,0.0,True
C[C@@H](NCc1ccc(Cl)c(Cl)c1)c1cccc(O)c1,314,3.4415517,33.0,3.289851,1.6711725,0.0,0.0,1.6711725,0.573484,1.1545864,1.8937843,1.9090141,1.3250953,4.0,1.3865366,0.80149543,2.1439939,0.19019711,2.9454892,0.36669257,0.62201273,1.0062283,1.3833606,0.88259244,0.0,0.47553778,0.24450868,3.1531947,0.16749673,3.3977032,0.38453194,0.0,0.0,0.0,0.025809372,0.0,0.0,0.0,0.0,0.47509703,0.0,0.10212091,0.0,0.0,0.0,0.0,0.0,0.0068312683,0.048041616,0.0,0.0,0.23030604,0.0,0.0,0.0,0.0,0.0,0.060685754,0.051108032,0.9428572,0.9428572,0.9428572,0.9428572,0.9142858,0.51428574,0.51428574,0.51428574,0.5285715,1.0,1.0,1.0,0.5285715,0.9428572,0.9428572,0.0,0.0,0.0,0.0,0.0,True
OCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1,315,3.5641336,37.0,3.327293,1.6080211,0.0,0.0,1.6080211,0.5040755,1.1569645,1.8913902,1.9140388,1.4899963,3.0,1.3958077,0.68029815,2.3567357,0.4906839,3.0370338,0.33494526,0.99753326,1.3854016,1.3906047,0.69314235,0.0,0.47002602,0.46857464,3.3205502,0.0073554516,3.789125,0.008806825,0.0,0.0,0.0,0.0,0.010981354,0.015880655,0.0,0.029560527,0.5,0.0,0.0497874,0.0,0.0,0.0,0.0,0.0,0.009307421,0.050268784,0.0,0.0,0.2271234,0.0,0.0,0.0,0.0,0.0,0.055039424,0.052051038,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.4279279,0.4279279,0.4279279,0.5225225,0.5225225,0.8558558,0.35585585,0.35585585,1.0,0.8333333,0.0,0.0,0.0,0.0,0.0,True
OCCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1,316,3.6418512,40.0,3.3203707,1.5956829,0.0,0.0,1.5956829,0.5015754,1.1532679,1.5274819,1.9372542,1.5423038,3.0,1.3897543,0.4600901,2.7689652,0.9323095,3.2290552,0.7620068,1.0089204,1.3767532,1.3832538,0.8184977,0.0,0.4809699,0.33131203,3.8850994,0.8206694,4.2164116,0.6104337,0.0,0.0,0.0,0.021926772,0.021315396,0.0,0.0,0.0,0.2738292,0.24195212,0.0,0.051607262,0.0,0.0,0.0,0.0,0.008596413,0.053028464,0.0,0.0,0.22270255,0.0,0.0,0.0,0.0,0.0,0.051145382,0.053896394,0.6666667,0.6666667,0.6666667,0.6666667,0.6333333,0.33333334,0.33333334,0.33333334,0.36666667,0.51666665,0.68333334,0.68333334,0.35,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0,True
OCC[C@@H](NCc1ccc(O)c(F)c1)c1ccc(Cl)cc1,317,3.5646403,37.0,3.3365047,1.6307656,0.0,0.0,1.6307656,0.5058848,1.1543686,1.8931998,2.021041,1.5497112,3.0,1.379247,0.53236145,2.4581301,0.46581796,2.9904916,0.3535531,1.0582712,1.3764158,1.3778315,0.7522968,0.0,0.48297143,0.31950402,3.1940522,0.16971463,3.5135562,0.38705826,0.0,0.0,0.0,0.012068847,0.0187643,0.0,0.0,0.0,0.27695495,0.25193807,0.0,0.0,0.057927925,0.0,0.0,0.0,0.009106348,0.046253376,0.0,0.0,0.21567917,0.0,0.0,0.0,0.0,0.0,0.054209203,0.05709773,0.8333333,0.8333333,0.8333333,0.8333333,0.78828824,0.45045042,0.45045042,0.45045042,0.35585585,0.5225225,0.8558558,0.68918914,0.35585585,1.0,0.8333333,0.0,0.0,0.0,0.0,0.0,True
OCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1F,318,3.5648828,37.0,3.32055,1.6299217,0.0,0.0,1.6299217,0.50402284,1.1541624,1.8930962,2.018476,1.4221863,2.0,1.3906986,0.55532575,2.649289,0.5199205,3.2046146,0.24149382,1.3830414,1.3855938,1.3881462,0.6929249,0.0,0.48149228,0.4715501,3.3067381,0.007531166,3.7782884,0.0024110079,0.0,0.0,0.0,0.0035310024,0.013115265,0.0,0.0,0.0,0.32378742,0.25527102,0.0,0.0,0.0,0.0,0.0,0.0,0.009113351,0.046267908,0.0,0.0,0.23762865,0.0,0.0,0.0,0.0,0.0,0.054176945,0.05710846,0.59999996,0.59999996,0.59999996,0.59999996,0.5675675,0.32432428,0.32432428,0.32432428,0.4162162,0.4162162,0.6162162,0.6162162,0.6162162,1.0,0.59999996,0.0,0.0,0.0,0.0,0.0,True
OCC[C@@H](NCc1cccc(O)c1)c1ccccc1F,319,3.5739777,37.0,2.099095,1.5714827,0.0,0.0,1.5714827,0.42425546,1.1531549,1.8893845,1.9091799,1.3956563,3.0,1.3820739,0.6651331,2.2447467,0.2882371,2.9098797,0.34444425,1.0669589,1.3796088,1.3808413,0.69310725,0.0,0.47192073,0.46774018,3.3102994,0.0032682419,3.7780395,0.0009123087,0.0,0.0,0.0,0.0011223544,0.0,0.015360463,0.023175662,0.0,0.5,0.0,0.0,0.0,0.06300401,0.0,0.0,0.0,0.009248543,0.050273504,0.0,0.0,0.23067085,0.0,0.0,0.0,0.0,0.0,0.054985393,0.05215923,1.0,1.0,1.0,1.0,0.9459459,0.5135135,0.5135135,0.5135135,0.5,0.75,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
OCC[C@H](NCc1cccc(O)c1)c1ccccc1F,320,3.573997,37.0,2.1023257,1.5712187,0.0,0.0,1.5712187,0.4240452,1.1528313,1.8920765,1.906873,1.5733889,5.0,1.3851848,0.6470712,2.245457,0.26780012,2.892528,0.32045123,0.55252934,0.613153,1.3836275,0.69289184,0.0,0.46944857,0.45907485,3.3146195,0.007327199,3.7736945,0.0030465126,0.0,0.0,0.0,0.0053186393,0.0,0.0,0.0,0.0,0.5,0.079130225,0.04512295,0.0,0.0,0.0,0.0,0.0,0.00923442,0.05027971,0.0,0.0,0.20376152,0.0,0.0,0.0,0.0,0.0,0.054994736,0.0521578,1.0,1.0,1.0,1.0,0.9459459,0.5135135,0.5135135,0.5135135,0.4,0.8,1.0,0.6,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
Cc1ccc(C)c(Nc2nc(NCCO)c3ccccc3n2)c1,321,3.7035756,42.0,2.08268,1.5662407,0.0,0.0,1.5662407,0.40546587,1.1595551,1.8890927,1.9087718,1.7283216,4.0,1.386908,0.79460615,2.2433047,0.30205542,3.037911,0.23030134,1.1108966,1.3452525,1.3861026,1.0442076,0.0,0.42947245,0.3506708,3.3934426,0.082689084,3.7441134,0.028218329,0.0,0.0,0.0,0.0,0.0072445734,0.09275631,0.0,0.0,0.4572456,0.031736217,0.0,0.0,0.0,0.0,0.0,0.0,0.008193673,0.05010341,0.0,0.07818613,0.1661645,0.0,0.0,0.0,0.0,0.0,0.06771068,0.0406589,1.0,1.0,1.0,1.0,0.97619045,0.52380955,0.52380955,0.52380955,0.5,0.8333333,1.0,0.6666667,0.5,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
Cc1cccc(Nc2nc(NCCO)c3ccccc3n2)c1C,322,3.7034945,42.0,2.0860791,1.5668154,0.0,0.0,1.5668154,0.4061155,1.1590235,1.887964,1.9064314,1.9049449,5.0,1.3871124,0.7767312,2.2408192,0.2630113,3.0175502,0.21785071,0.52735996,1.3064488,1.3807821,1.0377775,0.0,0.4601624,0.36152586,3.3930905,0.08364392,3.7546163,0.040352367,0.0,0.0,0.0,0.0,0.0,0.100679696,0.0,0.0,0.45880303,0.05528815,0.0,0.0,0.0,0.0,0.0,0.0,0.008200542,0.050087344,0.0,0.07008263,0.14847986,0.0,0.0,0.0,0.0,0.0,0.06281083,0.04556795,1.0,1.0,1.0,1.0,1.0,0.52380955,0.52380955,0.52380955,0.375,0.625,1.0,0.5,0.375,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
OCCCNc1nc(Nc2ccc(F)cc2)nc2ccccc12,323,3.630485,39.0,2.0861795,1.5971481,0.0,0.0,1.5971481,0.40458545,1.1530758,1.8876714,1.9033234,1.5280681,5.0,1.3879195,1.0250394,2.1439974,0.2815038,3.1690369,0.13097332,0.5592482,1.2925822,1.3621514,1.03974,0.0,0.45416355,0.36046362,3.3883364,0.08932242,3.7488,0.029541206,0.0,0.0,0.0,0.0,0.0,0.09013089,0.0,0.0,0.4098691,0.07040665,0.0,0.0,0.0,0.0,0.0,0.0,0.008680522,0.043558616,0.0,0.08406716,0.17885953,0.0,0.0,0.0,0.0,0.0,0.07146627,0.04296126,1.0,1.0,1.0,1.0,0.974359,0.5641026,0.5641026,0.5641026,0.6,0.6,1.0,1.0,0.6,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
Cc1c(Cl)cccc1Nc1nc(NCCO)c2ccccc2n1,324,3.6231027,39.0,3.1246133,1.6254646,0.0,0.0,1.6254646,0.4666624,1.1561651,1.8910676,1.9081674,1.8867682,4.0,1.3914906,0.76670957,2.3351736,0.4331172,3.1018832,0.2574106,1.1349862,1.3459578,1.3878298,1.0393339,0.0,0.44535708,0.3552617,3.3886907,0.08728828,3.7439523,0.029360246,0.0,0.0,0.0,0.0,0.0,0.102332,0.016086252,0.0,0.43261352,0.026477078,0.033912618,0.0,0.0,0.0,0.0,0.0,0.008656702,0.043549906,0.0,0.070936576,0.15097526,0.0,0.0,0.0,0.0,0.0,0.066335924,0.04812413,0.97499996,0.97499996,0.97499996,0.97499996,0.9499999,0.55,0.55,0.55,0.44285712,0.58214283,1.0,0.58214283,0.4178571,0.78928566,0.97499996,0.0,0.0,0.0,0.0,0.0,True
OCCCNc1nc(Nc2cccc(F)c2)nc2ccccc12,325,3.6304483,39.0,2.0752718,1.5972115,0.0,0.0,1.5972115,0.4048064,1.153063,1.890889,1.9056065,1.569165,4.0,1.3859719,0.8583516,2.2346106,0.3426231,3.092962,0.2077362,1.1174097,1.3440478,1.3845352,1.0417434,0.0,0.43469262,0.3520429,3.387948,0.08775359,3.739991,0.024986899,0.0,0.0,0.0,0.005153929,0.0,0.09122,0.0,0.0,0.43718663,0.036084723,0.0,0.0,0.0,0.0,0.0,0.0,0.008664839,0.043565076,0.0,0.08440203,0.17928605,0.0,0.0,0.0,0.0,0.0,0.07147417,0.042962585,1.0,1.0,1.0,1.0,0.974359,0.5641026,0.5641026,0.5641026,0.6,0.8,1.0,0.8,0.6,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
OCCNc1nc(Nc2ccc(F)cc2F)nc2ccccc12,326,3.552121,36.0,2.082958,1.6332983,0.0,0.0,1.6332983,0.39999264,1.153291,1.8912172,1.904727,1.723276,4.0,1.3862094,0.784768,2.2498715,0.29477698,3.0346396,0.24072061,1.120522,1.3367009,1.372546,1.0436351,0.0,0.42870092,0.34773222,3.391602,0.0844795,3.739334,0.025199343,0.0,0.0,0.0,0.0,0.0,0.102514595,0.016478095,0.0,0.4336712,0.0,0.03433571,0.0,0.0,0.0,0.0,0.0,0.009193162,0.03624041,0.0,0.079211175,0.16712253,0.0,0.0,0.0,0.0,0.0,0.07570929,0.045523785,1.0,1.0,1.0,1.0,0.9722222,0.6111111,0.6111111,0.6111111,0.42857143,0.5714286,1.0,0.5714286,0.42857143,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
OCCCNc1nc(Nc2ccc(F)cc2F)nc2ccccc12,327,3.631218,39.0,2.0826654,1.6204354,0.0,0.0,1.6204354,0.4042321,1.1567461,1.8912959,1.9065223,1.8464097,5.0,1.3866266,0.67312133,2.310851,0.33765158,2.9839725,0.23101097,0.6932256,1.3044543,1.3684444,1.0414343,0.0,0.4274187,0.346172,3.3925478,0.085666396,3.7387197,0.025544416,0.0,0.0,0.0,0.005058427,0.0,0.100089714,0.0,0.0,0.40897304,0.05770236,0.0,0.03814323,0.0,0.0,0.0,0.0,0.008584775,0.039906286,0.0,0.07177476,0.1515918,0.0,0.0,0.0,0.0,0.0,0.07048563,0.04768996,1.0,1.0,1.0,1.0,1.0,0.5897436,0.5897436,0.5897436,0.42857143,0.71428573,1.0,0.5714286,0.42857143,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1ccc2c(=O)cc(C(F)(F)F)oc2c1,328,3.1087759,23.0,2.1052413,1.7254119,0.0,0.0,1.7254119,0.38556045,1.1606897,1.8988309,2.0281098,1.2909997,2.0,1.3860985,0.6976182,2.3678463,0.3443068,3.0654645,0.20903549,1.3142823,1.3382211,1.3621597,0.6110656,0.0,0.47809148,0.34160995,3.449729,0.14440131,3.791339,0.007919788,0.0,0.0,0.0,0.0,0.009082842,0.15011889,0.024013964,0.0,0.3943481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03437326,0.0,0.12330943,0.13246009,0.0,0.0,0.0,0.0,0.015453107,0.04033639,0.07650391,1.0,1.0,1.0,1.0,1.0,0.6956522,0.6956522,0.6086956,0.6666667,0.6666667,1.0,1.0,0.6666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
