sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
AML001_CD34_6H:BRD-K19706299:3.33333,BRD-K19706299,MRE-269,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K21918725:0.37037,BRD-K21918725,BRD-K21918725,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K21918725:1.11111,BRD-K21918725,BRD-K21918725,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K21918725:10,BRD-K21918725,BRD-K21918725,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K21918725:3.33333,BRD-K21918725,BRD-K21918725,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K23623013:0.37037,BRD-K23623013,UTMB-00042,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K23623013:1.11111,BRD-K23623013,UTMB-00042,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K23623013:10,BRD-K23623013,UTMB-00042,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K23623013:3.33333,BRD-K23623013,UTMB-00042,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K26684619:0.37037,BRD-K26684619,BRD-K26684619,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K26684619:1.11111,BRD-K26684619,BRD-K26684619,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K26684619:10,BRD-K26684619,BRD-K26684619,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K26684619:3.33333,BRD-K26684619,BRD-K26684619,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K27316855:0.37037,BRD-K27316855,calcitriol,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K27316855:1.11111,BRD-K27316855,calcitriol,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K27316855:10,BRD-K27316855,calcitriol,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K27316855:3.33333,BRD-K27316855,calcitriol,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K27499107:0.37037,BRD-K27499107,carbacyclin,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K27499107:1.11111,BRD-K27499107,carbacyclin,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K27499107:10,BRD-K27499107,carbacyclin,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K27499107:3.33333,BRD-K27499107,carbacyclin,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K41790758:0.37037,BRD-K41790758,BRD-K41790758,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K41790758:1.11111,BRD-K41790758,BRD-K41790758,CD34,1 µM,6 h
