smile,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class,smiles,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,-0.9,-7.1,-10.4,8.75,A,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,3.4356276988983154,32.0,2.104642868041992,1.637135028839111,0.0,0.0,1.637135028839111,0.3918216228485107,1.1535160541534424,1.89395272731781,1.9134650230407717,1.6529784202575684,4.0,1.3972903490066528,0.9043133854866028,2.1461141109466557,0.2589250802993774,3.0504274368286133,0.2788431644439697,1.1092239618301392,1.3379244804382324,1.3898401260375977,1.0357612371444702,0.0,0.4798471927642822,0.3789616525173187,3.4045727252960205,0.1364328414201736,3.783534526824951,0.0092589035630226,0.0,0.0,0.0,0.0,0.0,0.0877467095851898,0.0196043904870748,0.0,0.4406486451625824,0.0,0.035104501992464,0.0,0.0,0.0,0.0,0.0,0.0067415260709822,0.0368434377014637,0.0,0.0791571959853172,0.1710719019174575,0.0,0.0,0.0,0.0,0.0116157354786992,0.0606031566858291,0.0508628077805042,1.0,1.0,1.0,1.0,0.96875,0.625,0.625,0.5625,0.800000011920929,0.800000011920929,1.0,0.800000011920929,0.6000000238418579,0.6666666865348816,1.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C=Cc1ccc(O)cc1,-8.3,-4.9,-7.3,7.800000000000001,B,O=C(O)C=Cc1ccc(O)cc1,2.912376880645752,19.0,2.0179004669189453,1.5839388370513916,0.0,0.0,1.5839388370513916,0.3938176929950714,1.15192449092865,1.8258415460586548,1.9019110202789309,0.0321665853261947,1.0,1.3830302953720093,0.6950810551643372,2.096212863922119,0.1905005574226379,2.7912938594818115,0.4974486827850342,1.3830302953720093,1.3830302953720093,1.3830302953720093,-1.000088900582341e-12,0.0,0.4909448623657226,0.4909448623657226,3.302889347076416,0.0,3.7938342094421382,0.0,0.0,0.0,0.0,0.0017100679688155,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0116633744910359,0.0382988266646862,0.0,0.0,0.3316232562065124,0.0,0.0,0.0,0.0,0.0201139766722917,0.0525598563253879,0.0440306328237056,1.0,1.0,1.0,1.0,0.9473684430122375,0.5789473652839661,0.5789473652839661,0.4736842215061188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CC(C)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.4,-9.1,8.35,A,CC(C)=CCOc1ccc2ccc(=O)oc2c1,3.368081569671631,30.0,2.11808705329895,1.581704020500183,0.0,0.0,1.581704020500183,0.4037120342254638,1.1594812870025637,1.8157837390899656,1.958086013793945,1.308908224105835,3.0,1.411146879196167,0.975808322429657,2.1035642623901367,0.1325095891952514,3.0793726444244385,0.2580615580081939,0.9982790946960448,1.2644429206848145,1.3377948999404907,0.6070781946182251,0.0,0.4308698177337646,0.3058358430862427,3.464574813842773,0.1463440656661987,3.7704107761383057,0.0213100910186767,0.0,0.0,0.0,0.0,0.0,0.1477932333946228,0.0,0.0,0.3522067964076996,0.042317759245634,0.0,0.0,0.0625221207737922,0.0,0.0,0.0,0.0,0.0572665743529796,0.1079825237393379,0.0,0.1205109357833862,0.0,0.0,0.0,0.0,0.0193321332335472,0.0335519462823867,0.0565160177648067,1.0,1.0,1.0,1.0,1.0,0.5333333611488342,0.5333333611488342,0.4333333373069763,0.5333333611488342,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,-2.9,-7.0,-8.4,7.7,B,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,3.5786256790161133,37.0,2.136359214782715,1.6475640535354614,0.0,0.0,1.6475640535354614,0.4084429442882538,1.1583616733551023,1.888975739479065,2.016896247863769,1.415544033050537,4.0,1.377977728843689,0.676076352596283,2.217885732650757,0.252088338136673,2.893962144851685,0.4310615360736847,1.0977187156677246,1.3000774383544922,1.368593692779541,1.0335630178451538,0.0,0.4886412620544433,0.3792524337768554,3.4205565452575684,0.1478222459554672,3.799808979034424,0.0196746755391359,0.0,0.0,0.0,0.004760998301208,0.0,0.0867026075720787,0.0,0.0,0.1985586136579513,0.2147388011217117,0.0,0.0483748652040958,0.0,0.0,0.0,0.0,0.008674656972289,0.0350504182279109,0.0869646295905113,0.0,0.193232849240303,0.0,0.0,0.0,0.0,0.0099961226806044,0.0522955954074859,0.0606498718261718,1.0,1.0,1.0,1.0,0.9189189076423644,0.6216216087341309,0.6216216087341309,0.5675675868988037,0.5270270109176636,1.0,1.0,1.0,0.75,0.6666666865348816,1.0,0.0,0.0,0.0,0.0,0.0
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,-7.4,-4.6,-7.6,7.5,B,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,3.674349546432495,41.0,2.0981576442718506,1.47198486328125,0.0,0.0,1.47198486328125,0.4209614396095276,1.1605255603790283,1.163128137588501,2.0495290756225586,1.9038007259368896,3.0,0.77105712890625,0.3655324280261993,2.506212949752808,0.2648628652095794,2.871745347976685,0.1337941139936447,0.5922605991363525,0.6178121566772461,0.694434642791748,0.6931129097938538,0.0,0.0585606098175048,0.0580796003341674,3.492990732192993,0.1305549144744873,3.551070213317871,0.1300739049911499,0.0,0.0,0.0,0.5153315663337708,0.0,0.0,0.0300681516528129,0.0402988158166408,0.0,0.0494887083768844,0.1200198754668235,0.0,0.0781262293457984,0.0,0.0,0.0,0.002939160214737,0.0811691284179687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153731657192111,0.0,0.0671852156519889,1.0,1.0,1.0,1.0,0.9756097793579102,0.3658536672592163,0.3658536672592163,0.2926829159259796,0.0,0.6666666865348816,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,11.9,-7.7,-11.1,9.4,A,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,3.771883010864258,45.0,2.077676296234131,1.594653606414795,0.0,0.0,1.594653606414795,0.4146432280540466,1.1606343984603882,1.849841594696045,2.012392997741699,1.937945246696472,5.0,1.3843388557434082,0.4795724749565124,2.3206632137298584,0.3198825716972351,2.800235748291016,0.3466094136238098,0.7659392356872559,1.008989334106445,1.365654468536377,0.6931250095367432,0.0,0.4631550312042236,0.4600895643234253,3.322508811950684,0.0009588003158569,3.7825982570648193,0.0021066665649414,0.0,0.0,0.0,0.006064876448363,0.0133948558941483,0.0199528485536575,0.0,0.0,0.5,0.0318284071981906,0.0,0.0,0.0443647019565105,0.0,0.0,0.0584426410496234,0.0098525648936629,0.0433600507676601,0.0,0.0,0.1592849940061569,0.0,0.0,0.0,0.0,0.0085516590625047,0.0487583391368389,0.0561440587043762,1.0,1.0,1.0,1.0,0.9333333373069764,0.5555555820465088,0.5555555820465088,0.5111111402511597,0.6000000238418579,1.0,0.800000011920929,0.800000011920929,0.4000000059604645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,-5.4,-7.6,-9.3,8.45,A,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,3.6031556129455566,38.0,2.1030189990997314,1.6208680868148804,0.0,0.0,1.6208680868148804,0.4176685512065887,1.160030722618103,1.8962982892990112,2.018208742141724,1.8327999114990237,3.0,1.376365065574646,0.5126166343688965,2.4222261905670166,0.3834705352783203,2.934842824935913,0.309687077999115,1.1740477085113523,1.374834418296814,1.37559974193573,0.6926633715629578,0.0,0.4745941162109375,0.4602774381637573,3.323911666870117,0.0104477405548095,3.784189224243164,0.0038689374923706,0.0,0.0,0.0,0.0003652904706541,0.02357286401093,0.0,0.0386345274746418,0.0,0.5285744667053223,0.0,0.0,0.0,0.0,0.0,0.0,0.0632871240377426,0.0086190281435847,0.041108850389719,0.0,0.0,0.1788991093635559,0.0,0.0,0.0,0.0,0.0049608284607529,0.0518908202648162,0.0600871555507183,1.0,1.0,1.0,1.0,0.9473684430122375,0.5789473652839661,0.5789473652839661,0.5526315569877625,0.4000000059604645,0.800000011920929,0.6000000238418579,1.0,0.4000000059604645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,-0.4,-7.3,-9.8,8.55,A,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,3.8153185844421382,47.0,2.10364842414856,1.586016297340393,0.0,0.0,1.586016297340393,0.4145931601524353,1.1600277423858645,1.8344630002975464,1.9961395263671875,2.0749969482421875,6.0,1.3977926969528198,0.5629223585128784,2.5563666820526123,0.9148902297019958,3.1192891597747803,0.7703595757484436,0.7470234632492065,0.9534114599227904,1.3132023811340332,0.6930777430534363,0.0,0.4685766696929931,0.4631192684173584,3.324397325515747,0.0227937698364257,3.7875165939331055,0.017336368560791,0.0,0.0,0.0,0.002270536031574,0.0126378685235977,0.0,0.0257197003811597,0.0,0.5,0.0254503060132265,0.0,0.0,0.0744893029332161,0.0,0.0,0.0,0.0047553032636642,0.1083225011825561,0.0,0.0,0.136681392788887,0.0,0.0,0.0,0.0,0.0082255909219384,0.0428740717470645,0.0585734285414218,1.0,1.0,1.0,1.0,1.0,0.5319148898124695,0.5319148898124695,0.4893617033958435,0.2857142984867096,1.0,0.8571428656578064,0.7142857313156128,0.4285714328289032,1.0,1.0,0.0,0.0,0.0,0.0,0.0
COc1cccc2c(=O)c3ccc(O)cc3oc12,-7.7,-6.1,-8.5,8.1,A,COc1cccc2c(=O)c3ccc(O)cc3oc12,3.266467571258545,27.0,2.103837728500366,1.6448184251785278,0.0,0.0,1.6448184251785278,0.388698399066925,1.156677484512329,1.894020915031433,1.903057336807251,1.4966702461242676,3.0,1.3944557905197144,0.6933372616767883,2.289979696273804,0.3362839818000793,2.9833168983459477,0.3479966521263122,1.354581594467163,1.390075445175171,1.392265558242798,1.0310648679733276,0.0,0.4801626205444336,0.3823513090610504,3.404757499694824,0.1460698246955871,3.787108898162842,0.0147223575040698,0.0,0.0,0.0,0.000156526803039,0.0173212569206953,0.0849422439932823,0.0,0.0,0.2057552188634872,0.2433177381753921,0.0,0.0,0.0,0.0,0.0,0.0,0.0039545190520584,0.0391676723957061,0.0,0.0905961692333221,0.1912441849708557,0.0,0.0,0.0,0.0,0.0068280231207609,0.0715071484446525,0.0452093072235584,1.0,1.0,1.0,1.0,0.9629629850387572,0.6296296119689941,0.6296296119689941,0.5925925970077515,0.75,0.75,1.0,0.75,0.75,0.6666666865348816,1.0,0.0,0.0,0.0,0.0,0.0
CC=Cc1cc(O)c(O)c(OC)c1,-7.6,-5.3,-7.5,7.55,B,CC=Cc1cc(O)c(O)c(OC)c1,3.1423964500427246,24.0,2.106715440750122,1.54682719707489,0.0,0.0,1.54682719707489,0.4111460149288177,1.158334255218506,1.493170976638794,1.924779772758484,1.3197007179260254,1.0,1.3853312730789185,0.5343160033226013,2.263195276260376,0.1881618052721023,2.797511100769043,0.3094717264175415,1.3853312730789185,1.3853312730789185,1.3853312730789185,-1.000088900582341e-12,0.0,0.4653820991516113,0.4653820991516113,3.3177967071533203,0.0,3.783178806304932,0.0,0.0,0.0,0.0,0.0,0.0,0.0491562820971012,0.0,0.0,0.6113291382789612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095325335860252,0.0521764159202575,0.0,0.0,0.1728479564189911,0.0,0.0,0.0,0.0,0.0082335257902741,0.0427604392170906,0.053963765501976,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4583333432674408,0.375,1.0,1.0,0.3333333432674408,0.3333333432674408,1.0,1.0,0.0,0.0,0.0,0.0,0.0
